order,imagename,col,line_nu,word_nu,glyph_nu,ocr,ocr_x1,ocr_y1,ocr_x2,ocr_y2,ocr_x3,ocr_y3,ocr_x4,ocr_y4,gt,gt_x1,gt_y1,gt_x2,gt_y2,gt_x3,gt_y3,gt_x4,gt_y4,manuscript
9,ok/105-Fg001-R-C01-R01-D03012012-T133309-LR924_012_F.jpg,1,1,5,3,ה,1601,1249,1599,1037,1486,1014,1487,1164,ה,1601,1249,1599,1037,1486,1014,1487,1164,4Q262
21,ok/105-Fg001-R-C01-R01-D03012012-T133309-LR924_012_F.jpg,1,2,3,3,ה,1737,1430,1744,1293,1630,1275,1622,1420,ה,1737,1430,1744,1293,1630,1275,1622,1420,4Q262
29,ok/105-Fg001-R-C01-R01-D03012012-T133309-LR924_012_F.jpg,1,3,1,5,ה,1839,1697,1839,1492,1746,1490,1742,1609,ה,1839,1697,1839,1492,1746,1490,1742,1609,4Q262
81,ok/105-Fg003-R-C01-R01-D03012012-T135030-LR924_012_F.jpg,1,4,1,4,ה,1926,1668,1925,1543,1822,1549,1818,1625,ה,1926,1668,1925,1543,1822,1549,1818,1625,4Q262
86,ok/105-Fg003-R-C01-R01-D03012012-T135030-LR924_012_F.jpg,1,4,3,4,ה,1599,1660,1597,1500,1507,1538,1509,1662,ה,1599,1660,1597,1500,1507,1538,1509,1662,4Q262
93,ok/105-Fg003-R-C01-R01-D03012012-T135030-LR924_012_F.jpg,1,5,3,3,ה,1644,1793,1644,1694,1570,1692,1570,1799,ה,1644,1793,1644,1694,1570,1692,1570,1799,4Q262
99,ok/111-Fg005-R-C01-R01-D08112011-T153037-LR924_012_F.jpg,1,1,1,1,ה,1929,851,2020,851,2020,944,1929,944,ה,1929,851,2020,851,2020,944,1929,944,4Q277
116,ok/111-Fg005-R-C01-R01-D08112011-T153037-LR924_012_F.jpg,1,4,1,1,ה,2107,1406,2270,1406,2270,1521,2107,1521,ה,2107,1406,2270,1406,2270,1521,2107,1521,4Q277
123,ok/111-Fg005-R-C01-R01-D08112011-T153037-LR924_012_F.jpg,1,4,3,2,ה,1858,1528,1862,1410,1819,1399,1814,1545,ה,1858,1528,1862,1410,1819,1399,1814,1545,4Q277
216,ok/115-Fg002-R-C02-R01-D06122011-T084537-LR924_012_F.jpg,1,2,1,3,ה,2081,1127,2085,1089,2025,1083,2023,1106,ה,2081,1127,2085,1089,2025,1083,2023,1106,4Q427
228,ok/115-Fg002-R-C02-R01-D06122011-T084537-LR924_012_F.jpg,1,2,5,6,ה,1532,1103,1539,995,1479,994,1474,1076,ה,1532,1103,1539,995,1479,994,1474,1076,4Q427
247,ok/115-Fg002-R-C02-R01-D06122011-T084537-LR924_012_F.jpg,1,3,5,7,ה,1455,1367,1458,1266,1383,1283,1382,1331,ה,1455,1367,1458,1266,1383,1283,1382,1331,4Q427
254,ok/115-Fg002-R-C02-R01-D06122011-T084537-LR924_012_F.jpg,1,3,7,6,ה,1110,1357,1120,1227,1045,1226,1032,1385,ה,1110,1357,1120,1227,1045,1226,1032,1385,4Q427
255,ok/115-Fg002-R-C02-R01-D06122011-T084537-LR924_012_F.jpg,1,4,1,1,ה,2206,1593,2264,1622,2264,1650,2234,1646,ה,2206,1593,2264,1622,2264,1650,2234,1646,4Q427
264,ok/115-Fg002-R-C02-R01-D06122011-T084537-LR924_012_F.jpg,1,4,5,4,ה,1775,1678,1798,1534,1739,1524,1722,1628,ה,1775,1678,1798,1534,1739,1524,1722,1628,4Q427
291,ok/115-Fg002-R-C02-R01-D06122011-T084537-LR924_012_F.jpg,1,6,1,5,ה,1734,2046,1736,1920,1688,1916,1686,2025,ה,1734,2046,1736,1920,1688,1916,1686,2025,4Q427
313,ok/115-Fg005-R-C01-R01-D06122011-T100445-LR924_012_F.jpg,1,3,1,5,ה,1652,1419,1654,1377,1577,1334,1571,1452,ה,1652,1419,1654,1377,1577,1334,1571,1452,4Q427
345,ok/115-Fg006-R-C01-R01-D06122011-T101711-LR924_012_F.jpg,1,3,1,2,ה,2002,1593,2020,1447,1957,1436,1940,1572,ה,2002,1593,2020,1447,1957,1436,1940,1572,4Q427
370,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,2,1,1,ה,2807,872,2987,872,2987,1005,2807,1005,ה,2807,872,2987,872,2987,1005,2807,1005,4Q393
374,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,2,3,1,ה,2716,1022,2709,864,2682,860,2691,1039,ה,2716,1022,2709,864,2682,860,2691,1039,4Q393
397,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,2,13,3,ה,1669,980,1673,919,1593,937,1593,937,ה,1669,980,1673,919,1593,937,1593,937,4Q393
404,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,3,3,4,ה,2778,1170,2771,1059,2707,1078,2712,1155,ה,2778,1170,2771,1059,2707,1078,2712,1155,4Q393
458,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,4,5,4,ה,2651,1340,2648,1241,2605,1240,2608,1339,ה,2651,1340,2648,1241,2605,1240,2608,1339,4Q393
461,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,4,7,1,ה,2553,1335,2551,1246,2519,1242,2518,1320,ה,2553,1335,2551,1246,2519,1242,2518,1320,4Q393
463,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,4,9,1,ה,2420,1317,2421,1252,2356,1256,2355,1346,ה,2420,1317,2421,1252,2356,1256,2355,1346,4Q393
506,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,5,5,1,ה,2835,1469,2839,1387,2797,1391,2792,1483,ה,2835,1469,2839,1387,2797,1391,2792,1483,4Q393
562,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,6,3,5,ה,2697,1621,2697,1520,2637,1533,2637,1587,ה,2697,1621,2697,1520,2637,1533,2637,1587,4Q393
571,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,6,7,3,ה,2336,1613,2340,1513,2279,1525,2276,1603,ה,2336,1613,2340,1513,2279,1525,2276,1603,4Q393
573,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,6,9,1,ה,2252,1606,2256,1522,2207,1534,2204,1609,ה,2252,1606,2256,1522,2207,1534,2204,1609,4Q393
578,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,6,11,2,ה,2018,1606,2033,1506,1972,1499,1965,1579,ה,2018,1606,2033,1506,1972,1499,1965,1579,4Q393
580,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,6,11,4,ה,1929,1576,1936,1489,1874,1487,1872,1586,ה,1929,1576,1936,1489,1874,1487,1872,1586,4Q393
586,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,6,13,5,ה,1638,1593,1632,1484,1559,1471,1566,1600,ה,1638,1593,1632,1484,1559,1471,1566,1600,4Q393
617,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,7,7,2,ה,2538,1795,2547,1642,2487,1671,2495,1777,ה,2538,1795,2547,1642,2487,1671,2495,1777,4Q393
628,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,7,13,1,ה,2034,1758,2042,1648,1988,1632,1978,1770,ה,2034,1758,2042,1648,1988,1632,1978,1770,4Q393
639,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,7,15,5,ה,1602,1697,1600,1646,1533,1683,1533,1683,ה,1602,1697,1600,1646,1533,1683,1533,1683,4Q393
651,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,7,19,3,ה,1067,1751,1071,1634,1031,1625,1026,1737,ה,1067,1751,1071,1634,1031,1625,1026,1737,4Q393
659,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,8,3,2,ה,3166,1929,3171,1830,3119,1829,3115,1911,ה,3166,1929,3171,1830,3119,1829,3115,1911,4Q393
669,ok/124-Fg004-R-C01-R01-D10112011-T105711-LR924_012_F.jpg,1,8,7,1,ה,2170,1914,2178,1820,2128,1790,2120,1891,ה,2170,1914,2178,1820,2128,1790,2120,1891,4Q393
756,ok/128-Fg002-R-C01-R01-D21112011-T144832-LR924_012_F.jpg,1,5,1,1,ה,2491,1575,2751,1575,2751,1618,2491,1618,ה,2491,1575,2751,1575,2751,1618,2491,1618,4Q476
768,ok/128-Fg002-R-C01-R01-D21112011-T144832-LR924_012_F.jpg,1,5,5,4,ה,1695,1669,1703,1528,1602,1534,1602,1644,ה,1695,1669,1703,1528,1602,1534,1602,1644,4Q476
793,ok/132-Fg001-R-C01-R01-D24112011-T104107-LR924_012_F.jpg,1,3,1,3,ה,2074,1434,2081,1318,1997,1338,1997,1407,ה,2074,1434,2081,1318,1997,1338,1997,1407,4Q197
872,ok/137-Fg001-R-C01-R01-D24112011-T123520-LR924_012_F.jpg,1,4,7,1,ה,2235,1556,2231,1440,2167,1436,2173,1576,ה,2235,1556,2231,1440,2167,1436,2173,1576,4Q160
904,ok/137-Fg001-R-C01-R01-D24112011-T123520-LR924_012_F.jpg,1,5,5,4,ה,1996,1758,2000,1630,1941,1616,1937,1745,ה,1996,1758,2000,1630,1941,1616,1937,1745,4Q160
906,ok/137-Fg001-R-C01-R01-D24112011-T123520-LR924_012_F.jpg,1,5,7,1,ה,1896,1751,1900,1645,1841,1595,1837,1735,ה,1896,1751,1900,1645,1841,1595,1837,1735,4Q160
