,y
0,3Q13
1,4Q77
2,4Q38b
3,3Q12
4,4Q54
5,4Q46
6,4Q97
7,4Q59
8,3Q14
9,4Q32
10,4Q54
11,4Q87
12,3Q13
13,4Q23
14,4Q29
15,4Q46
16,4Q97
17,3Q14
18,4Q113
19,4Q98
20,4Q47
21,4Q89
22,4Q46
23,4Q95
24,4Q87
25,4Q32
26,4Q23
27,4Q46
28,4Q78
29,4Q69
30,4Q55
31,4Q64
32,4Q18
33,4Q88
34,4Q69
35,4Q30
36,4Q22
37,4Q87
38,4Q95
39,4Q46
40,4Q95
41,4Q64
42,4Q59
43,3Q12
44,4Q86
45,4Q11
46,4Q38d
47,4Q59
48,4Q29
49,4Q23
50,4Q23
51,4Q11
52,3Q13
53,4Q45
54,4Q23
55,4Q45
56,4Q115
57,4Q97
58,4Q33
59,4Q18
60,4Q45
61,4Q23
62,4Q87
63,4Q59
64,4Q87
65,3Q14
66,4Q22
67,4Q78
68,3Q12
69,4Q97
70,4Q87
71,4Q113
72,4Q29
73,4Q87
74,4Q103
75,4Q55
76,4Q56
77,4Q55
78,4Q102
79,4Q78
80,4Q98
81,4Q30
82,4Q45
83,4Q58
84,4Q96
85,2
86,4Q20
87,4Q23
88,4Q67
89,4Q38
90,4Q31
91,4Q1
92,4Q29
93,4Q11
94,4Q1
95,3Q14
96,4Q45
97,4Q3
98,4Q39
99,4Q96
100,4Q38b
101,4Q64
102,4Q113
103,4Q45
104,4Q59
105,4Q45
106,4Q86
107,4Q56
108,4Q94
109,3Q12
110,4Q11
111,4Q78
112,4Q45
113,4Q87
114,4Q48
115,4Q87
116,4Q45
117,4Q58
118,4Q55
119,4Q94
120,4Q22
121,4Q56
122,4Q50
123,4Q64
124,4Q23
125,4Q117
126,4Q54
127,4Q18
128,3Q13
129,4Q45
130,4Q23
131,4Q96
132,4Q33
133,4Q58
134,4Q30
135,4Q115
136,4Q75
137,4Q98
138,4Q86
139,3Q14
140,4Q47
141,4Q29
142,4Q87
143,4Q95
144,4Q84
145,4Q105
146,4Q87
147,4Q87
148,4Q30
149,3Q13
150,4Q95
151,4Q68
152,4Q11
153,4Q55
154,4Q22
155,4Q39
156,4Q33
157,4Q32
158,4Q56
159,4Q67
160,4Q97
161,4Q56
162,4Q78
163,4Q11
164,4Q45
165,4Q56
166,4Q97
167,4Q3
168,3Q12
169,4Q46
170,4Q64
171,4Q64
172,4Q78
173,4Q98
174,4Q95
175,4Q76
176,4Q18
177,4Q98
178,4Q59
179,4Q18
180,4Q76
181,4Q11
182,3Q13
183,4Q98
184,4Q56
185,4Q18
186,4Q11
187,4Q98e
188,3Q14
189,4Q67
190,4Q95
191,4Q115
192,4Q59
193,4Q39
194,4Q1
195,4Q58
196,4Q38b
197,4Q46
198,4Q22
199,4Q98e
200,4Q46
201,4Q87
202,4Q94
203,4Q45
204,4Q65
205,4Q1
206,3Q14
207,4Q30
208,4Q11
209,4Q33
210,4Q23
211,4Q77
212,4Q38b
213,4Q76
214,4Q96
215,4Q45
216,3Q13
217,4Q46
218,4Q33
219,4Q115
220,4Q11
221,4Q1
222,4Q98
223,4Q46
224,4Q59
225,4Q45
226,4Q45
227,4Q59
228,4Q96
229,4Q78
230,4Q45
231,4Q30
232,4Q38
233,4Q103
234,1
235,4Q118
236,4Q23
237,4Q58
238,4Q39
239,4Q89
240,4Q23
241,3Q14
242,4Q78
243,4Q113
244,4Q38
245,4Q103
246,4Q45
247,4Q95
248,4Q45
249,4Q9
250,4Q11
251,4Q29
252,4Q67
253,4Q96
254,4Q47
255,4Q21
256,3Q14
257,4Q33
258,4Q105
259,4Q30
260,4Q94
261,4Q75
262,4Q96
263,4Q78
264,4Q94
265,4Q11
266,4Q76
267,4Q33
268,4Q115
269,3Q12
270,3Q14
271,4Q87
272,4Q38b
273,4Q18
274,4Q33
275,4Q30
276,4Q94
277,3Q14
278,3Q13
279,4Q33
280,4Q88
281,4Q22
282,4Q33
283,4Q18
284,4Q23
285,4Q30
286,4Q69
287,4Q97
288,4Q22
289,4Q33
290,4Q87
291,3Q13
292,4Q38b
293,4Q20
294,4Q66
295,4Q23
296,3Q14
297,4Q115
298,4Q33
299,4Q30
300,4Q113
301,4Q32
302,3Q12
303,4Q58
304,3Q13
305,3Q12
306,4Q23
307,4Q11
308,4Q69
309,4Q22
310,4Q76
311,4Q33
312,3Q14
313,4Q33
314,4Q78
315,4Q22
316,3Q12
317,4Q22
318,4Q74
319,4Q30
320,4Q33
321,4Q95
322,4Q45
323,4Q38
324,4Q55
325,4Q86
326,3Q14
327,4Q21
328,4Q87
329,4Q18
330,4Q38
331,3Q13
332,4Q47
333,4Q58
334,4Q22
335,4Q103
336,4Q65
337,4Q11
338,4Q106
339,4Q66
340,4Q18
341,4Q1
342,4Q9
343,4Q87
344,4Q118
345,4Q30
346,4Q94
347,4Q58
348,4Q46
349,4Q9
350,4Q22
351,4Q30
352,4Q11
353,4Q58
354,3Q12
355,4Q88
356,3Q12
357,4Q30
358,4Q94
359,4Q29
360,4Q95
361,4Q117
362,4Q22
363,4Q113
364,4Q32
365,4Q33
366,4Q96
367,4Q29
368,3Q12
369,4Q59
370,4Q77
371,4Q8
372,4Q11
373,4Q98e
374,4Q94
375,4Q95
376,4Q23
377,4Q11
378,4Q39
379,4Q78
380,4Q23
381,4Q30
382,4Q97
383,4Q11
384,4Q55
385,4Q97
386,4Q11
387,4Q23
388,4Q30
389,3Q13
390,4Q23
391,4Q98e
392,4Q59
393,3Q14
394,4Q31
395,4Q105
396,4Q11
397,4Q88
398,4Q76
399,4Q23
400,4Q46
401,4Q11
402,4Q95
403,4Q47
404,3Q13
405,3Q12
406,4Q47
407,4Q30
408,4Q84
409,3Q12
410,4Q87
411,4Q11
412,4Q46
413,4Q54
414,4Q45
415,4Q55
416,4Q11
417,4Q38
418,4Q39
419,4Q1
420,4Q23
421,4Q46
422,4Q89
423,4Q18
424,4Q76
425,4Q38
426,4Q11
427,3Q12
428,4Q23
429,4Q76
430,4Q30
431,4Q78
432,4Q18
433,4Q67
434,4Q87
435,4Q86
436,4Q39
437,4Q97
438,4Q113
439,4Q64
440,4Q39
441,4Q33
442,4Q3
443,4Q94
444,3Q14
445,4Q31
446,4Q89
447,3Q13
448,4Q87
449,4Q38b
450,3Q14
451,4Q21
452,4Q11
453,4Q9
454,4Q23
455,4Q31
456,4Q1
457,4Q30
458,4Q84
459,4Q76
460,4Q46
461,4Q95
462,4Q23
463,4Q88
464,4Q30
465,4Q78
466,4Q3
467,4Q33
468,4Q11
469,4Q11
470,4Q87
471,3Q14
472,4Q30
473,4Q19
474,3Q13
475,4Q33
476,4Q59
477,4Q114
478,4Q74
479,4Q94
480,4Q115
481,4Q56
482,4Q46
483,4Q88
484,3Q14
485,3Q13
486,3Q13
487,3Q14
488,4Q22
489,4Q58
490,4Q19
491,4Q18
492,4Q30
493,4Q46
494,4Q38d
495,4Q46
496,3Q13
497,4Q30
498,3Q13
499,4Q78
500,4Q87
501,4Q78
502,4Q11
503,4Q68
504,4Q30
505,4Q9
506,3Q13
507,4Q11
508,4Q65
509,4Q33
510,4Q20
511,4Q22
512,4Q38
513,4Q30
514,4Q39
515,4Q23
516,4Q66
517,4Q22
518,4Q78
519,4Q77
520,4Q97
521,4Q58
522,4Q87
523,4Q103
524,4Q97
525,4Q33
526,4Q98
527,3Q12
528,4Q96
529,4Q11
530,3Q12
531,4Q97
532,4Q87
533,4Q95
534,4Q33
535,3Q12
536,4Q22
537,4Q23
538,4Q23
539,4Q56
540,4Q84
541,4Q115
542,4Q21
543,4Q46
544,4Q22
545,4Q50
546,4Q95
547,4Q22
548,4Q30
549,4Q30
550,4Q84
551,4Q65
552,4Q64
553,4Q78
554,4Q45
555,3Q13
556,4Q30
557,4Q30
558,3Q12
559,4Q117
560,4Q115
561,4Q46
562,4Q113
563,4Q46
564,4Q78
565,4Q22
566,4Q33
567,4Q78
568,4Q11
569,4Q45
570,4Q29
571,4Q55
572,4Q59
573,4Q105
574,4Q98e
575,4Q29
576,4Q38b
577,4Q78
578,4Q87
579,4Q11
580,4Q95
581,4Q96
582,4Q87
583,4Q23
584,3Q14
585,4Q106
586,4Q11
587,4Q86
588,4Q67
589,4Q30
590,4Q78
591,4Q30
592,4Q86
593,4Q23
594,4Q96
595,4Q1
596,4Q45
597,4Q115
598,4Q38
599,4Q11
600,4Q23
601,4Q46
602,4Q96
603,4Q38c
604,4Q66
605,4Q22
606,4Q67
607,4Q69
608,4Q88
609,4Q47
610,3Q12
611,4Q59
612,4Q11
613,4Q9
614,4Q23
615,4Q94
616,4Q38d
617,4Q39
618,4Q77
619,4Q97
620,4Q33
621,4Q1
622,4Q116
623,4Q69
624,4Q11
625,4Q113
626,4Q56
627,4Q48
628,4Q88
629,4Q95
630,4Q78
631,4Q33
632,4Q69
633,4Q94
634,4Q98
635,4Q23
636,3Q13
637,4Q78
638,4Q65
639,4Q1
640,4Q67
641,4Q46
642,4Q59
643,4Q105
644,3Q12
645,4Q78
646,3Q12
647,4Q46
648,4Q64
649,4Q22
650,4Q55
651,4Q47
652,4Q66
653,4Q30
654,4Q9
655,4Q45
656,4Q23
657,4Q84
658,3Q13
659,4Q95
660,4Q30
661,4Q103
662,4Q33
663,4Q11
664,4Q33
665,4Q30
666,4Q31
667,4Q23
668,4Q67
669,4Q1
670,4Q96
671,4Q23
672,4Q46
673,4Q87
674,3Q12
675,4Q54
676,4Q38
677,4Q96
678,4Q96
679,4Q97
680,4Q69
681,4Q94
682,4Q78
683,4Q78
684,4Q98
685,4Q11
686,3Q13
687,4Q98e
688,4Q11
689,4Q75
690,4Q86
691,4Q33
692,4Q78
693,4Q115
694,4Q78
695,4Q59
696,4Q11
697,4Q97
698,4Q22
699,4Q87
700,4Q113
701,4Q65
702,4Q78
703,4Q1
704,4Q56
705,4Q1
706,4Q96
707,4Q97
708,4Q30
709,4Q58
710,4Q45
711,4Q59
712,3Q13
713,4Q30
714,4Q105
715,4Q98
716,4Q95
717,4Q84
718,4Q32
719,4Q11
720,4Q102
721,4Q1
722,4Q38d
723,4Q68
724,4Q94
725,4Q116
726,4Q98
727,4Q11
728,4Q30
729,4Q9
730,4Q18
731,4Q11
732,4Q47
733,4Q59
734,4Q102
735,4Q86
736,4Q78
737,4Q94
738,4Q95
739,4Q78
740,4Q30
741,4Q33
742,4Q18
743,4Q104
744,4Q38
745,4Q45
746,4Q23
747,4Q55
748,4Q98
749,4Q1
750,4Q11
751,4Q56
752,4Q95
753,3Q12
754,4Q98e
755,4Q46
756,4Q68
757,3Q12
758,4Q11
759,4Q30
760,3Q14
761,4Q55
762,4Q23
763,4Q69
764,3Q12
765,4Q47
766,4Q23
767,4Q56
768,4Q45
769,4Q30
770,3Q14
771,4Q56
772,4Q55
773,4Q1
774,4Q23
775,4Q22
776,4Q11
777,4Q96
778,3Q13
