,orentation
1039-3-Fg001-R-C01-R01-D05122011-T112753-LR924_012_F.jpg,
1039-3-Fg002-R-C01-R01-D05122011-T114139-LR924_012_F.jpg,
1039-3-Fg003-R-C01-R01-D05122011-T114542-LR924_012_F.jpg,
1039-3-Fg004-R-C01-R01-D05122011-T115718-LR924_012_F.jpg,
1039-3-Fg006-R-C01-R01-D05122011-T121336-LR924_012_F.jpg,
1039-3-Fg007-R-C01-R01-D05122011-T121723-LR924_012_F.jpg,
1039-3-Fg008-R-C01-R01-D05122011-T122859-LR924_012_F.jpg,
105-Fg001-R-C01-R01-D03012012-T133436-RLRK__026_F.jpg,
1112-1-Fg002-R-C01-R01-D06122011-T124937-LR445_ColorCal_both_110209.png,c
1112-Fg001-R-C01-R01-D06122011-T120541-LR445_ColorCal_both_110209.png,x
1119-Fg001-R-C01-R01-D08012012-T141456-LR445_ColorCal_both_110209.png,c
1119-Fg002-R-C01-R01-D08012012-T143118-LR445_ColorCal_both_110209.png,x
1119-Fg003-R-C01-R01-D08012012-T143617-LR445_ColorCal_both_110209.png,x
1129-1-Fg001-R-C01-R01-D26022012-T105532-LR445_ColorCal_both_110209.png,
1129-1-Fg003-R-C01-R01-D26022012-T113934-LR445_ColorCal_both_110209.png,
114-Fg001-R-C01-R01-D07122011-T112424-LR445_ColorCal_both_110209.png,c
114-Fg002-R-C01-R01-D07122011-T113654-LR445_ColorCal_both_110209.png,x
114-Fg003-R-C01-R01-D07122011-T114121-LR445_ColorCal_both_110209.png,x
114-Fg004-R-C01-R01-D07122011-T115458-LR445_ColorCal_both_110209.png,x
114-Fg007-R-C01-R01-D07122011-T121530-LR445_ColorCal_both_110209.png,x
114-Fg009-R-C01-R01-D07122011-T123339-LR445_ColorCal_both_110209.png,x
114-Fg013-R-C01-R01-D07122011-T131807-LR445_ColorCal_both_110209.png,x
1142-Fg001-R-C01-R01-D27022012-T103459-LR445_ColorCal_both_110209.png,x
1148-Fg001-R-C01-R01-D07022012-T101822-LR445_ColorCal_both_110209.png,v
1148-Fg002-R-C01-R01-D07022012-T103115-LR445_ColorCal_both_110209.png,c
1148-Fg003-R-C01-R01-D07022012-T103836-LR445_ColorCal_both_110209.png,x
1148-Fg004-R-C01-R01-D07022012-T105506-LR445_ColorCal_both_110209.png,x
1148-Fg005-R-C01-R01-D07022012-T105945-LR445_ColorCal_both_110209.png,x
1148-Fg006-R-C01-R01-D07022012-T111259-LR445_ColorCal_both_110209.png,x
1148-Fg007-R-C01-R01-D07022012-T111712-LR445_ColorCal_both_110209.png,x
1148-Fg008-R-C01-R01-D07022012-T114118-LR445_ColorCal_both_110209.png,x
1148-Fg009-R-C01-R01-D07022012-T114704-LR445_ColorCal_both_110209.png,x
1148-Fg010-R-C01-R01-D07022012-T115935-LR445_ColorCal_both_110209.png,x
1148-Fg012-R-C01-R01-D07022012-T121629-LR445_ColorCal_both_110209.png,x
1148-Fg013-R-C01-R01-D07022012-T122037-LR445_ColorCal_both_110209.png,x
1148-Fg014-R-C01-R01-D07022012-T123536-LR445_ColorCal_both_110209.png,x
1148-Fg016-R-C01-R01-D07022012-T125059-LR445_ColorCal_both_110209.png,x
124-Fg001-R-C01-R01-D10112011-T101957-LR445_ColorCal_both_110209.png,x
124-Fg002-R-C01-R01-D10112011-T103257-LR445_ColorCal_both_110209.png,v
124-Fg004-R-C01-R01-D10112011-T105602-LR445_ColorCal_both_110209.png,x
124-Fg005-R-C01-R01-D10112011-T110859-LR445_ColorCal_both_110209.png,x
124-Fg006-R-C01-R01-D10112011-T112140-LR445_ColorCal_both_110209.png,x
125-Fg001-R-C01-R01-D10112011-T121311-LR445_ColorCal_both_110209.png,x
