,image,proposed manus
0,P90-Fg026-R-C01-R01-D26042015-T150143-LR445 _PSC,"['4Q42', '4Q263', '4Q550', '4Q410', '4Q299', '4Q205', '4Q83', '4Q58', '4Q89', '4Q388', '4Q555', '4Q261', '4Q266', '4Q534', '4Q77', '4Q525', '4Q57', '4Q31', '4Q405', '4Q542']"
1,P96-Fg025-R-C01-R01-D11082015-T124356-LR445 _PSC,"['4Q379', '2Q23', '4Q389', '2Q23', '4Q7', '1Q29', '4Q286', '2Q24', '4Q243', '4Q261', '4Q299', '2Q23', '4Q299', '2Q24', '4Q507', '4Q321', '4Q56', '4Q72', '4Q226', '4Q41']"
2,P68-Fg026-R-C01-R01-D07102015-T110823-LR445 _PSC,"['4Q418', '4Q156', '4Q44', '4Q57', '4Q177', '4Q404', '4Q172', '4Q57', '4Q176', '4Q282', '4Q80', '4Q158', '4Q27', '4Q270', '4Q374', '4Q299', '4Q364', '4Q172', '4Q51', '4Q27']"
3,P95-Fg082-R-C01-R01-D07072015-T142031-LR445 _PSC,"['4Q382', '4Q196', '4Q418', 'MUR38', '4Q502', '4Q418', 'MUR41', '4Q502', '4Q208', '4Q224', '4Q553', '4Q502', '4Q502', '6Q18', '4Q418', '4Q418', '4Q265', '4Q245', '4Q245', '4Q418']"
4,P69-Fg026-R-C01-R01-D24122015-T104258-LR445 _PSC,"['4Q299', '4Q209', '4Q421', '4Q23', '4Q83', '4Q420', '4Q56', '4Q282', '4Q418', '4Q460', 'Mas 1b', '4Q174', '4Q214', '4Q83', '4Q83', '11Q6', '4Q388', '4Q380', '4Q404', '4Q158']"
5,P76-Fg011-R-C01-R01-D05082014-T110525-LR445 _PSC,"['4Q521', '4Q87', '4Q299', '2Q22', '4Q213a', '4Q176', '4Q470', '4Q209', '4Q60', '4Q112', '4Q536', '4Q160', '4Q287', '4Q256', '4Q299', '4Q83', '4Q282', '4Q51', '4Q174', '4Q38c']"
6,P8-Fg007-R-C01-R01-D22062015-T103942-LR445 _PSC,"['4Q418', '4Q196', '4Q265', '4Q196', '6Q7', '4Q176', '4Q69', '4Q208', '4Q418', '4Q208', '4Q391', 'MUR38', '4Q502', '4Q382', 'MUR38', '4Q391', '4Q432', 'MUR41', '4Q84', '4Q541']"
7,P90-Fg072-R-C01-R01-D28042015-T131310-LR445 _PSC,"['4Q270', '4Q167', '4Q51', '4Q51', '4Q51', '4Q543', '4Q51', '4Q23', '4Q27', '4Q402', '4Q77', '4Q282', '4Q76', '4Q77', '4Q531', '4Q524', '4Q51', '4Q270', '4Q418', '4Q67']"
8,P43-Fg052-R-C01-R01-D03122015-T113226-LR445 _PSC,"['4Q300', '4Q30', '4Q300', '4Q60', '4Q330', '4Q209', '4Q405', '4Q55', '4Q299', '4Q323', '4Q550', '4Q212', '4Q550', '4Q321', '4Q213', '4Q33', '4Q491', '4Q37', '4Q57', '4Q380']"
9,P72-Fg048-R-C01-R01-D31082015-T111413-LR445 _PSC,"['4Q172', '4Q44', '4Q537', '4Q282', '4Q266', '4Q167', '4Q450', '4Q156', '4Q214', '4Q177', '4Q524', '4Q176', '4Q39', '4Q266', '4Q27', '4Q158', '4Q51', '4Q202', '4Q267', '4Q203']"
